"id","variable","value"
"0","entity_type","DATE_TIME"
"0","end","20"
"0","width","256"
"0","score","1.0"
"0","start","18"
"0","image_name","2-1"
"0","left","25"
"0","top","23"
"0","height","40"
"1","top","23"
"1","image_name","2-1"
"1","height","40"
"1","start","23"
"1","score","1.0"
"1","left","25"
"1","width","256"
"1","end","24"
"1","entity_type","O"
"2","top","23"
"2","score","1.0"
"2","left","25"
"2","width","256"
"2","end","40"
"2","image_name","2-1"
"2","entity_type","O"
"2","height","40"
"2","start","39"
"3","entity_type","DATE_TIME"
"3","image_name","2-1"
"3","top","23"
"3","score","0.9999571"
"3","start","18"
"3","height","40"
"3","width","256"
"3","end","28"
"3","left","25"
"4","height","40"
"4","width","256"
"4","score","0.9599999785423279"
"4","top","23"
"4","end","1"
"4","image_name","2-1"
"4","entity_type","PERSON"
"4","start","0"
"4","left","25"
"5","height","40"
"5","top","23"
"5","width","256"
"5","image_name","2-1"
"5","left","25"
"5","end","7"
"5","entity_type","PERSON"
"5","score","0.95674783"
"5","start","0"
"6","left","25"
"6","width","256"
"6","image_name","2-1"
"6","entity_type","PERSON"
"6","end","13"
"6","score","0.9125378"
"6","top","23"
"6","start","8"
"6","height","40"
"7","width","140"
"7","end","24"
"7","top","39"
"7","start","23"
"7","score","1.0"
"7","entity_type","O"
"7","image_name","2-1"
"7","left","29"
"7","height","53"
"8","height","53"
"8","entity_type","DATE_TIME"
"8","image_name","2-1"
"8","start","34"
"8","width","140"
"8","end","36"
"8","left","29"
"8","top","39"
"8","score","1.0"
"9","start","39"
"9","width","140"
"9","image_name","2-1"
"9","end","40"
"9","left","29"
"9","top","39"
"9","height","53"
"9","entity_type","O"
"9","score","1.0"
"10","start","34"
"10","left","29"
"10","score","0.99995875"
"10","height","53"
"10","width","140"
"10","top","39"
"10","end","44"
"10","entity_type","DATE_TIME"
"10","image_name","2-1"
